similarity;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,1,2],"matchScore":[1,0.38173076923076926,1],"exact":2,"score":2.381730769230769,"order":1,"size":0.3333333333333333};1274;strada crizantemelor 20;654;strada docentilor 20
{"matched":[0,1,2,3],"matchScore":[1,0.37000000000000005,0.28095238095238095,1],"exact":2,"score":2.650952380952381,"order":1,"size":0.25};1275;strada culmea veche 5;492;strada clemenceau georges 5
{"matched":[0,1,2,3,4],"matchScore":[1,1,1,1,0.42500000000000004],"exact":4,"score":4.425,"order":1,"size":0.2};1276;strada cutitul de argint 18;571;strada cutitul de argint 1
{"matched":[0,1,2,3,4],"matchScore":[1,1,1,1,0.42500000000000004],"exact":4,"score":4.425,"order":1,"size":0.2};1277;strada cutitul de argint 19;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};1278;strada cutitul de argint 28;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};1279;strada cutitul de argint 62-62a;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};1280;strada cutitul de argint 64;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};1281;strada cutitul de argint 68;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};1282;strada cutitul de argint 72a;571;strada cutitul de argint 1
{"matched":[0,1,2,3,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":1,"size":0.2};1283;strada cutitul de argint 74;571;strada cutitul de argint 1
{"matched":[0,1,2,3],"matchScore":[1,0.24166666666666667,1,0.42500000000000004],"exact":2,"score":2.6666666666666665,"order":1,"size":0.25};1284;strada cuza voda 53;1247;strada mihai voda 5
{"matched":[0,1,2,3],"matchScore":[1,0.24166666666666667,1,0.42500000000000004],"exact":2,"score":2.6666666666666665,"order":1,"size":0.25};1285;strada cuza voda 78;1248;strada mihai voda 7
{"matched":[0,1,3,4],"matchScore":[1,1,0.3333333333333333,0.3333333333333333],"exact":2,"score":2.666666666666667,"order":0.8,"size":0.2};1286;strada cuza voda 89;574;strada cuza alexandru ioan 19
