id_lie;cod_lmi;similarity;a_score;lie_index;lie_add;lmi_index;lmi_add;match
CS2-00056;B-II-m-B-19185;"{""matched"":[0,3,4],""matchScore"":[1,0.35185185185185186,1],""exact"":2,""score"":2.351851851851852,""order"":0.6444444444444446,""size"":0.2}";104.518518518519;436;strada ciresului 29;1243;strada mendeleev d i 29;no
CS2-00057;B-II-m-B-19489;"{""matched"":[0,2,1,4],""matchScore"":[1,0.3875,0.22083333333333333,0.305],""exact"":1,""score"":1.9133333333333333,""order"":0.7,""size"":0.2}";1041.26333333333;437;strada clucerul udricani 12bis;1557;strada putul cu plopi 10;no
CS2-00058;B-II-a-B-18444;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;438;soseaua colentina 5;499;soseaua colentina ;no
CS2-00059;B-II-a-B-18444;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;439;soseaua colentina 7;499;soseaua colentina ;no
CS2-00060;B-II-a-B-18444;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;440;soseaua colentina 9;499;soseaua colentina ;no
CS2-00061;B-II-a-B-18444;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;441;soseaua colentina 11;499;soseaua colentina ;no
CS2-00062;B-II-a-B-18444;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;442;soseaua colentina 21;499;soseaua colentina ;no
CS2-00063;B-II-a-B-18444;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;443;soseaua colentina 31;499;soseaua colentina ;no
CS2-00064;B-II-a-B-18444;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;444;soseaua colentina 33;499;soseaua colentina ;no
CS2-00065;B-II-a-B-18444;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;445;soseaua colentina 39;499;soseaua colentina ;no
CS2-00066;B-II-m-B-18484;"{""matched"":[0,1,3],""matchScore"":[1,0.3698717948717949,1],""exact"":2,""score"":2.369871794871795,""order"":0.7777777777777777,""size"":0.25}";104.698717948718;446;strada concordiei 7;537;strada constaninescu mitrita 7;no
CS2-00067;B-II-m-B-19636;"{""matched"":[0,3,2,4],""matchScore"":[1,1,0.33809523809523806,0.35],""exact"":2,""score"":2.6880952380952383,""order"":0.7000000000000002,""size"":0.2}";1103.73095238095;447;strada constantin balescu 22;1705;strada sandu aldea constantin 21;no
CS2-00068;B-II-m-B-18980;"{""matched"":[0,2,1,3],""matchScore"":[1,1,0.3783068783068783,0.35],""exact"":2,""score"":2.7283068783068782,""order"":0.75,""size"":0.25}";1104.13306878307;448;strada constantin disescu 22;1033;strada kiritescu constantin 21;no
CS2-00069;B-II-m-B-18302;"{""matched"":[0,2,1,3],""matchScore"":[1,1,0.2698412698412698,1],""exact"":3,""score"":3.2698412698412698,""order"":0.75,""size"":0.25}";1103.69841269841;449;strada constantin esarhu 3;369;strada caracas constantin 3;no
CS2-00070;B-II-m-A-19201;"{""matched"":[0,2,1,3],""matchScore"":[1,1,0.9466666666666667,0.3875],""exact"":2,""score"":3.334166666666667,""order"":0.75,""size"":0.25}";1109.85416666667;450;strada constantin mille 14-16;1256;strada miile constantin 1;no
CS2-00071;B-II-m-B-19634;"{""matched"":[0,3,1,-1],""matchScore"":[1,1,0.31666666666666665,0],""exact"":2,""score"":2.3166666666666664,""order"":0.5555555555555556,""size"":0.2}";1103.16666666667;451;strada constantin nacu 4;1702;strada sandu aldea constantin 14;no
CS2-00072;B-II-m-B-18237;"{""matched"":[0,2,1,3],""matchScore"":[1,1,0.225,1],""exact"":3,""score"":3.225,""order"":0.75,""size"":0.25}";1103.25;452;strada constantin nacu 7;306;strada budisteanu constantin 7;no
CS2-00073;B-II-m-B-19293;"{""matched"":[0,2,1,3],""matchScore"":[1,1,0.2589285714285714,1],""exact"":3,""score"":3.258928571428571,""order"":0.75,""size"":0.25}";1103.58928571429;453;strada constantin nacu 8;1344;strada nottara constantin 8;no
CS2-00074;B-II-m-B-19638;"{""matched"":[0,3,1,2,4],""matchScore"":[1,1,1,1,0.3333333333333333],""exact"":4,""score"":4.333333333333333,""order"":0.6800000000000002,""size"":0.2}";11110.3333333333;454;strada constantin sandu aldea 65;1707;strada sandu aldea constantin 35;no
CS2-00075;B-II-m-B-18214;"{""matched"":[0,2,3],""matchScore"":[1,0.4347222222222223,0.42500000000000004],""exact"":1,""score"":1.8597222222222223,""order"":0.7777777777777777,""size"":0.25}";104.772222222222;455;strada corbeni 37;274;strada botez corneliu 3;no
CS2-00076;B-II-m-B-18485;"{""matched"":[0,2,1,-1],""matchScore"":[1,1,1,0],""exact"":3,""score"":3,""order"":0.6666666666666667,""size"":0.25}";1110;456;bulevardul corneliu coposu 1;538;bulevardul coposu corneliu 33;no
CS2-00077;B-II-m-B-18485;"{""matched"":[0,2,1,-1],""matchScore"":[1,1,1,0],""exact"":3,""score"":3,""order"":0.6666666666666667,""size"":0.25}";1110;457;bulevardul corneliu coposu 1;538;bulevardul coposu corneliu 33;no
CS2-00078;B-II-a-B-18508;"{""matched"":[0,1,2],""matchScore"":[1,1,1],""exact"":3,""score"":3,""order"":1,""size"":0.3333333333333333}";111;458;soseaua cotroceni 32;562;soseaua cotroceni 32;yes
CS2-00079;B-II-m-B-18510;"{""matched"":[0,1,2],""matchScore"":[1,1,0.35],""exact"":2,""score"":2.35,""order"":1,""size"":0.3333333333333333}";110.35;459;strada covaci 10;564;strada covaci 16;no
CS2-00080;B-II-m-B-18510;"{""matched"":[0,1,2],""matchScore"":[1,1,0.35],""exact"":2,""score"":2.35,""order"":1,""size"":0.3333333333333333}";110.35;460;strada covaci 14;564;strada covaci 16;no
CS2-00081;B-II-m-B-19185;"{""matched"":[0,2,3,1,4],""matchScore"":[1,1,1,1,0.3333333333333333],""exact"":4,""score"":4.333333333333333,""order"":0.6800000000000002,""size"":0.2}";11110.3333333333;461;strada d i mendeleev 19;1243;strada mendeleev d i 29;no
CS2-00082;B-II-m-B-19186;"{""matched"":[0,2,3,1,4],""matchScore"":[1,1,1,1,0.35],""exact"":4,""score"":4.35,""order"":0.6800000000000002,""size"":0.2}";11110.35;462;strada d i mendeleev 37;1222;strada mendeleev d i 34;no
CS2-00083;B-II-m-B-19186;"{""matched"":[0,2,3,1,4],""matchScore"":[1,1,1,1,0.35],""exact"":4,""score"":4.35,""order"":0.6800000000000002,""size"":0.2}";11110.35;463;strada d i mendeleev 39;1222;strada mendeleev d i 34;no
