similarity;a_score;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,2,1,3],"matchScore":[1,0.4666666666666667,0.35,0.3333333333333333],"exact":1,"score":2.1500000000000004,"order":0.75,"size":0.25};1050.5;701;strada trei scaune 15;1745;strada sfanta treime 55
{"matched":[0,2,1,3],"matchScore":[1,0.8825000000000001,0.16428571428571428,0.42500000000000004],"exact":1,"score":2.4717857142857147,"order":0.75,"size":0.25};1090.317857142857;702;strada tudor arghezi 23;1835;strada stefanescu teodor 2
{"matched":[0,1,-1,2],"matchScore":[1,0.32222222222222224,0,1],"exact":2,"score":2.322222222222222,"order":0.7777777777777777,"size":0.3333333333333333};1033.2222222222222;703;strada tudor arghezi 32;1339;strada negustori 32
{"matched":[0,2,1,3],"matchScore":[1,0.4523809523809524,0.34722222222222215,0.3333333333333333],"exact":1,"score":2.132936507936508,"order":0.75,"size":0.25};1049.0436507936506;704;strada valeriu braniste 23;1418;strada parintele galeriu 13
{"matched":[0,2,1,-1],"matchScore":[1,0.4523809523809524,0.34722222222222215,0],"exact":1,"score":1.7996031746031744,"order":0.6666666666666667,"size":0.25};1048.7103174603174;705;strada valeriu braniste 60a;1418;strada parintele galeriu 13
{"matched":[0,2,1,3],"matchScore":[1,1,0.31666666666666665,0.3333333333333333],"exact":2,"score":2.65,"order":0.75,"size":0.25};1103.5;706;strada vasile conta 14;1777;strada sion vasile 2-4
{"matched":[0,2,1,3],"matchScore":[1,1,0.33809523809523806,0.35],"exact":2,"score":2.6880952380952383,"order":0.75,"size":0.25};1103.7309523809522;707;strada vasile conta 3-5;1854;strada toneanu vasile 31
{"matched":[0,2,1,-1],"matchScore":[1,1,0.33809523809523806,0],"exact":2,"score":2.3380952380952382,"order":0.6666666666666667,"size":0.25};1103.3809523809523;708;strada vasile conta 7-9;1853;strada toneanu vasile 9
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;709;strada vasile lascar 8;1062;strada lascar vasile 32
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;710;strada vasile lascar 10;1062;strada lascar vasile 32
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};1110.3333333333333;711;strada vasile lascar 23-25;1062;strada lascar vasile 32
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};1110.3333333333333;712;strada vasile lascar 46;1064;strada lascar vasile 76
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;713;strada vasile lascar 100;1062;strada lascar vasile 32
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;714;strada vasile lascar 111;1062;strada lascar vasile 32
{"matched":[0,2,1,3],"matchScore":[1,1,0.2619047619047619,0.42500000000000004],"exact":2,"score":2.6869047619047617,"order":0.75,"size":0.25};1103.0440476190477;715;strada vasile lucaciu 4;1855;strada toneanu vasile 48
{"matched":[0,2,1,3],"matchScore":[1,1,0.26607142857142857,0.45555555555555555],"exact":2,"score":2.7216269841269844,"order":0.75,"size":0.25};1103.1162698412697;716;strada vasile lucaciu 101;22;strada alecsandri vasile 10
{"matched":[0,2,1,-1],"matchScore":[1,1,0.22380952380952382,0],"exact":2,"score":2.223809523809524,"order":0.6666666666666667,"size":0.25};1102.2380952380952;717;strada victor babes 7;603;strada daimaca victor 1
{"matched":[0,1,2],"matchScore":[1,1,0.825],"exact":2,"score":2.825,"order":1,"size":0.3333333333333333};110.825;718;calea victoriei 1-5;1935;calea victoriei 115
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;719;calea victoriei 2-4;1913;calea victoriei 2
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};110.43333333333334;720;calea victoriei 22-24;1902;calea victoriei 22
