cod_lmi#sirsup#rang#uat#siruta#localitate#sirinf#sector#adresa#strada_tip#strada_nume#strada_numar#cod_lmi_jud#cod_lmi_nat#cod_lmi_grupa#cod_lmi_val#cod_lmi_num#tip_patrimoniu#program_arhitectura#tip_monument#denumire#observatii_adresa#fotografiat#inexistent#constructie_noua#stare_monument#observatii#alte_obs#observatii_corina#datare#lat#lon
B-II-m-B-17962#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 8 sector 1#Aleea#Alexandru#8#B#II#m#B#17962#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#BUNĂ#CONSERVAT#.##prima jum. sec. XX#44.4554337097559#26.0875318043028
B-II-m-B-17963#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 14 sector 1#Aleea#Alexandru#14#B#II#m#B#17963#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#NU#NU#FOARTE BUNĂ#REABILITAT#AMBASADĂ##prima jum. sec. XX#44.4556066116091#26.0884085137222
B-II-m-B-17964#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 19 sector 1#Aleea#Alexandru#19#B#II#m#B#17964#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#NU#NU#BUNĂ#CONSERVAT#AMBASADĂ##prima jum. sec. XX#44.4565018#26.0892023
B-II-m-B-17965#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 22 sector 1#Aleea#Alexandru#22#B#II#m#B#17965#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#NU#NU#BUNĂ#CONSERVAT#VEGETAȚIE##prima jum. sec. XX#44.4563724520597#26.089622257989
B-II-m-B-17966#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 23 sector 1#Aleea#Alexandru#23#B#II#m#B#17966#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#NU#NU#BUNĂ#CONSERVAT#AMBASADĂ##prima jum. sec. XX#44.4570849#26.0895671
B-II-m-B-17967#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 33 sector 1#Aleea#Alexandru#33#B#II#m#B#17967#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#NU#NU#BUNĂ#CONSERVAT#VEGETAȚIE##prima jum. sec. XX#44.4582235547377#26.0890293978686
B-II-m-B-17968#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 34 sector 1#Aleea#Alexandru#34#B#II#m#B#17968#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#DA#DA#COLAPS#.#CONSTRUCȚIE NOUĂ#de verificat exact care e numarul 34. Pe site-ul PMB nu apare numarul postal. Pe google pare sa fie o cladire noua la adresa#prima jum. sec. XX#44.4583708806955#26.0894922369339
B-II-m-B-17969#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 35 sector 1#Aleea#Alexandru#35#B#II#m#B#17969#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#NU#NU#BUNĂ#CONSERVAT#VEGETAȚIE##prima jum. sec. XX#44.4584108295804#26.0887619120978
B-II-m-B-17970#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 37 sector 1#Aleea#Alexandru#37#B#II#m#B#17970#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##NU#NU#NU#BUNĂ#CONSERVAT#VEGETAȚIE##prima jum. sec. XX#44.4584938328789#26.0885555786094
B-II-m-B-17971#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Aleea Alexandru 38 sector 1#Aleea#Alexandru#38#B#II#m#B#17971#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#BUNĂ#CONSERVAT#.##prima jum. sec. XX#44.4591177#26.0880944
